raw_row_number,date,time,location,district,service_area,subject_age,subject_race,subject_sex,type,arrest_made,contraband_found,frisk_performed,search_conducted,search_person,search_vehicle,raw_race,raw_individual_contraband,raw_vehicle_contraband
411981,1/1/2014,1:14:00,NA,19,191,31,black,male,pedestrian,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Black - Non-Latino,TRUE,FALSE
407442,1/1/2014,1:57:00,NA,12,121,21,black,male,pedestrian,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Black - Non-Latino,FALSE,FALSE
217556,1/1/2014,3:30:00,3400 BLOCK SPRUCE ST,18,183,24,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217557,1/1/2014,3:40:00,3400 BLOCK SPRUCE ST,18,183,20,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
230988,1/1/2014,8:30:00,N 56TH ST / UPLAND WAY,19,193,31,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
398805,1/1/2014,8:53:00,CHESTNUT ST  / S SCHUYLKILL AV W,18,181,38,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231349,1/1/2014,9:00:00,N 52ND ST / GAINOR RD,19,193,19,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231350,1/1/2014,9:27:00,200 BLOCK N 52ND ST,19,192,28,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231351,1/1/2014,9:45:00,N 56TH ST / LANCASTER AV,19,192,44,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231352,1/1/2014,9:50:00,N 61ST ST / VINE ST,19,192,34,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217558,1/1/2014,10:10:00,5600 BLOCK CHRISTIAN ST,18,182,33,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231353,1/1/2014,10:30:00,6100 BLOCK NASSAU RD,19,191,18,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
358439,1/1/2014,10:35:00,5000 BLOCK WAYNE AV,39,391,37,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
411145,1/1/2014,10:35:00,NA,19,191,17,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
411135,1/1/2014,10:45:00,NA,19,193,13,black,female,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
358441,1/1/2014,10:52:00,4900 BLOCK GERMANTOWN AV,39,391,23,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
358440,1/1/2014,10:59:00,3600 BLOCK N BROAD ST,39,392,62,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
393118,1/1/2014,11:30:00,6500 BLOCK WOODLAND AV,12,123,33,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
358442,1/1/2014,12:05:00,200 BLOCK MANHEIM ST,39,391,46,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231354,1/1/2014,12:20:00,5600 BLOCK LANSDOWNE AV,19,192,59,white,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
231355,1/1/2014,13:06:00,5900 BLOCK MASTER ST,19,192,32,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231356,1/1/2014,13:20:00,5500 BLOCK LANSDOWNE AV,19,193,23,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
358444,1/1/2014,13:33:00,5000 BLOCK GERMANTOWN AV,39,391,44,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
358445,1/1/2014,13:48:00,2900 BLOCK MIDVALE AV,39,391,63,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
397451,1/1/2014,13:50:00,GERMANTOWN AV / COLLOM ST,39,391,22,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
358443,1/1/2014,13:57:00,WISSAHICKON AV / MIDVALE AV,39,391,38,hispanic,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Latino,FALSE,FALSE
358446,1/1/2014,14:05:00,5500 BLOCK PULASKI AV,39,391,47,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
358447,1/1/2014,14:16:00,5200 BLOCK GERMANTOWN AV,39,391,21,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
358448,1/1/2014,14:20:00,200 BLOCK W COULTER ST,39,391,40,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
43724,1/1/2014,14:35:00,6000 BLOCK SUMMER ST,19,192,23,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217559,1/1/2014,14:42:00,S 52ND/ MARKET ST,18,182,33,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
358449,1/1/2014,15:49:00,HANSBERRY ST / KNOX ST,39,391,46,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
230996,1/1/2014,16:15:00,5400 BLOCK ARCH ST,19,192,46,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
230997,1/1/2014,16:20:00,5300 BLOCK ARCH ST,19,192,53,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
274004,1/1/2014,17:30:00,200 BLOCK E CAMBRIA ST,24,242,21,hispanic,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Latino,FALSE,FALSE
230998,1/1/2014,17:45:00,6000 BLOCK HAVERFORD AV,19,192,45,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
230999,1/1/2014,18:25:00,100 BLOCK N 63RD ST,19,192,18,black,male,pedestrian,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Black - Non-Latino,TRUE,FALSE
280881,1/1/2014,19:00:00,400 BLOCK E CLEARFIELD ST,24,242,25,white,female,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
417756,1/1/2014,19:10:00,NA,1,11,37,white,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
407838,1/1/2014,19:50:00,NA,1,11,50,white,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
231361,1/1/2014,20:40:00,4800 BLOCK W GIRARD AV,19,192,49,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231362,1/1/2014,21:00:00,5400 BLOCK LANSDOWNE AV,19,192,51,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217201,1/1/2014,21:00:00,5500 BLOCK BALTIMORE AV,18,182,32,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217202,1/1/2014,21:15:00,5500 BLOCK BALTIMORE AV,18,182,24,black,female,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217560,1/1/2014,21:15:00,5500 BLOCK BALTIMORE AV,18,182,22,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217563,1/1/2014,21:47:00,5300 BLOCK LOCUST ST,18,182,20,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217567,1/1/2014,22:29:00,5500 BLOCK MARKET ST,18,182,21,black,male,pedestrian,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Black - Non-Latino,TRUE,FALSE
217564,1/1/2014,23:25:00,200 BLOCK S 60TH ST,18,181,25,black,male,pedestrian,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Black - Non-Latino,FALSE,FALSE
217566,1/1/2014,23:29:00,S 60TH ST / SPRUCE ST,18,181,19,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231363,1/1/2014,23:42:00,N 52ND ST / W THOMPSON ST,19,192,36,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
275317,1/1/2014,23:46:00,3100 BLOCK KENSINGTON AV,24,242,55,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217568,1/2/2014,0:15:00,5900 BLOCK COBBS CREEK,18,181,20,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
393652,1/2/2014,0:30:00,N 52ND ST / LANCASTER AV,19,192,47,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231364,1/2/2014,0:30:00,N 56TH ST / W GIRARD AV,19,192,18,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231365,1/2/2014,0:48:00,N 56TH ST / LANCASTER AV,19,193,33,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217569,1/2/2014,0:49:00,5100 BLOCK WALNUT ST,18,182,48,black,male,pedestrian,FALSE,NA,TRUE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231367,1/2/2014,0:49:00,W GIRARD AV / N SICKELS ST,19,192,36,black,male,vehicular,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Black - Non-Latino,FALSE,TRUE
231366,1/2/2014,1:00:00,N 57TH ST / W OXFORD ST,19,193,68,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231369,1/2/2014,1:04:00,N 53RD ST / PARKSIDE AV,19,193,74,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217570,1/2/2014,1:10:00,5800 BLOCK MONTROSE ST,18,181,24,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
231368,1/2/2014,1:10:00,N 52ND ST / LANCASTER AV,19,192,28,black,female,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
217571,1/2/2014,1:20:00,400 BLOCK S 60TH ST,18,181,21,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
236054,1/2/2014,1:40:00,BELMONT AV / CITY AV,19,192,18,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
